680,1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10200,,,,,,,,,,,,,,,,,,,,
1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,10880,,,,,,,,,,,,,,,,,,,,
1020,1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10200,,,,,,,,,,,,,,,,,,,,
3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,11220,11560,11900,12240,12240,,,,,,,,,,,,,,,,,,,,
1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10200,,,,,,,,,,,,,,,,,,,,,
1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10540,,,,,,,,,,,,,,,,,,,,,
680,1020,1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9520,,,,,,,,,,,,,,,,,,,,,
1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10200,,,,,,,,,,,,,,,,,,,,,
2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,10880,,,,,,,,,,,,,,,,,,,,,
3060,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,11220,11560,11900,12240,12240,,,,,,,,,,,,,,,,,,,,,
1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10200,,,,,,,,,,,,,,,,,,,,,
1020,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10200,,,,,,,,,,,,,,,,,,,,,
2040,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,11220,11220,,,,,,,,,,,,,,,,,,,,,
680,1020,1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9520,,,,,,,,,,,,,,,,,,,,,
2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,11220,11220,,,,,,,,,,,,,,,,,,,,,
680,1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,9860,,,,,,,,,,,,,,,,,,,,,
1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10200,,,,,,,,,,,,,,,,,,,,,
2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,11220,11220,,,,,,,,,,,,,,,,,,,,,
680,1020,1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9520,,,,,,,,,,,,,,,,,,,,,
2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,10880,,,,,,,,,,,,,,,,,,,,,
2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,10880,,,,,,,,,,,,,,,,,,,,,
680,1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,9860,,,,,,,,,,,,,,,,,,,,,
680,1020,1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9520,,,,,,,,,,,,,,,,,,,,,
680,1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,9860,,,,,,,,,,,,,,,,,,,,,
1020,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,9860,,,,,,,,,,,,,,,,,,,,,,
1700,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10540,,,,,,,,,,,,,,,,,,,,,,
340,680,1020,1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,8840,,,,,,,,,,,,,,,,,,,,,,
2040,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,10880,,,,,,,,,,,,,,,,,,,,,,
